id_partido;id_estadio;fecha;goles_local;goles_visitante;instancia;equipo_local;equipo_visitante;cuerpo_directivo;torneo
1;23;4/5/2023;1;2;FECHA;Club Bancarios;Resistencia FC;1;1
2;19;4/5/2023;2;1;FECHA;Futbol Club Barberan;Los Algarrobos United;2;1
3;4;4/5/2023;3;0;FECHA;Club Atlético Central Benitez;Río Bermejo FC;3;1
4;13;4/5/2023;0;0;FECHA;Atlético Central Norte;Isla del Cerrito FC;4;1
5;2;4/5/2023;3;0;FECHA;Chaco For Ever;Saenz Peña Stars;5;1
6;9;4/5/2023;0;0;FECHA;Universidad del Nordeste;Roque Saenz Peña FC;6;1
7;7;4/5/2023;1;2;FECHA;Defensores de Vilelas;Charata United;7;1
8;8;4/5/2023;3;4;FECHA;Social y Deportivo Guiraldes;Villa Angela FC;8;1
9;10;4/5/2023;0;1;FECHA;Los Tobas FC;General Pinedo Stars;9;1
10;12;4/5/2023;2;2;FECHA;Los Qom United;Quitilipi United;10;1
11;1;4/5/2023;1;3;FECHA;Los Pilaga Stars;El Impenetrable FC;11;1
12;17;4/5/2023;3;2;FECHA;Los Wichi Warriors;Los Diablos de Chaco;12;1
13;3;11/6/2023;4;1;FECHA;Club Bancarios;Charata United;1;1
14;22;11/6/2023;0;2;FECHA;Futbol Club Barberan;El Impenetrable FC;2;1
15;16;11/6/2023;0;1;FECHA;Club Atlético Central Benitez;Quitilipi United;3;1
16;5;11/6/2023;3;5;FECHA;Atlético Central Norte;Villa Angela FC;4;1
17;11;11/6/2023;1;0;FECHA;Chaco For Ever;Rio Bermejo FC;5;1
18;1;11/6/2023;0;2;FECHA;Universidad del Nordeste;Los Algarrobos United;6;1
19;6;11/6/2023;0;1;FECHA;Defensores de Vilelas;Isla del Cerrito FC;7;1
20;24;11/6/2023;5;2;FECHA;S. Deportivo Guiraldes;Los Diablos de Chaco;8;1
21;18;11/6/2023;1;1;FECHA;Los Tobas FC;Roque Saenz Peña FC;9;1
22;4;11/6/2023;3;2;FECHA;Los Qom United;General Pinedo Stars;10;1
23;21;11/6/2023;2;2;FECHA;Los Pilaga Stars;Saenz Peña Stars;11;1
24;3;11/6/2023;2;1;FECHA;Los Wichi Warriors;Isla del Cerrito FC;12;1
