id_estadio;nombre;ciudad_id;capacidad
1;Arenero;5;30000
2;Olimpic;6;23000
3;Coliseo;2;36000
4;El forestal;3;10000
5;Toba Arena;54;25000
6;Qom Stadium;38;10000
7;Pilaga Park;70;15000
8;Wichi Stadium;23;17000
9;Resistencia Arena;4;35000
10;Algarrobos Park;19;22000
11;Bermejo Stadium;64;8000
12;Cerrito Arena;18;4000
13;Saenz Pena Stadium;3;14000
14;Roque Saenz Pena Arena;3;30000
15;Charata Stadium;8;21000
16;Villa Angela Arena;9;9000
17;General Pinedo Stadium;44;13000
18;Quitilipi Park;5;15000
19;El Impenetrable Arena;1;21000
20;Diablos Stadium;1;45000
21;Stamford Bridge;34;12000
22;Johan Cruyff;21;11000
23;Mineirao;15;21000
24;Monumental;16;36000
